Сегмент,Ключевые слова,Минус-слова
event,"event agency,event production,corporate events,conference,forum,congress,events,мероприятия,ивент,организация мероприятий,деловые мероприятия,форум,конференция","career,jobs,vacancy,privacy,terms"
presentations,"presentation design,presentation agency,presentation studio,business presentations,pitch deck,investor deck,sales deck,powerpoint design,keynote presentation,proposal design,tender presentation,executive presentation,дизайн презентаций,агентство презентаций,студия презентаций,презентации для бизнеса,инвестиционная презентация,коммерческое предложение,тендерная презентация","career,jobs,vacancy,privacy,terms,template,free,course,training,software"
communications,"communications agency,corporate communications,pr agency,public relations,коммуникационное агентство,корпоративные коммуникации,pr,пиар","career,jobs,vacancy,privacy,terms"
pr,"pr agency,public relations,reputation management,media relations,press office,pr,пиар,связи с общественностью,репутация,сми,пресс-служба","career,jobs,vacancy,privacy,terms"
marketing,"marketing agency,brand communication,content marketing,маркетинговое агентство,маркетинг,бренд-коммуникации","career,jobs,vacancy,privacy,terms"
branding,"branding agency,brand strategy,identity,брендинговое агентство,бренд-стратегия,айдентика","career,jobs,vacancy,privacy,terms"
digital,"digital agency,performance marketing,smm,seo,web production,digital,диджитал,интернет-маркетинг,таргетированная реклама,контекстная реклама","career,jobs,vacancy,privacy,terms"
production,"production,video production,creative production,content production,продакшен,видеопроизводство,ролики,контент,съёмка","career,jobs,vacancy,privacy,terms"
consulting,"consulting,business consulting,strategy consulting,консалтинг,стратегический консалтинг","career,jobs,vacancy,privacy,terms"
corporate,"corporate communications,investor relations,sales enablement,hr brand,employer brand,корпоративные коммуникации,презентации,hr бренд","career,jobs,vacancy,privacy,terms"
education,"business school,corporate education,executive education,accelerator,бизнес-школа,корпоративное обучение,акселератор,образовательный проект","career,jobs,vacancy,privacy,terms"
hr,"employer brand,hr marketing,internal communications,employee experience,hr бренд,бренд работодателя,внутренние коммуникации,корпоративная культура","career,jobs,vacancy,privacy,terms"
community,"business community,business club,entrepreneur club,association,бизнес-сообщество,бизнес-клуб,ассоциация,предприниматели,деловое сообщество","career,jobs,vacancy,privacy,terms"
